,Name,Star,Size(Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection
,HD 204313,1,?,163,*.*,11.09.13.63,-77.34.44.6,21.59,L,L,4,-,-,-,
,Cha 110913-773444,1,?,,*.*,,,,,,,,,,
,Kepler-11,1,?,1999,*.*,19.48.27.62,41.54.32.9,13.69,G,G4V,6,,,,
,b,0,0.1762,0.091,*.*,,,,,,,,,,transit
,c,0,0.28175,0.106,*.*,,,,,,,,,,transit
,d,0,0.3068,0.159,*.*,,,,,,,,,,transit
,e,0,0.4043,0.194,*.*,,,,,,,,,,transit
,f,0,0.2335,0.25,*.*,,,,,,,,,,transit
,g,0,0.3274,0.462,*.*,,,,,,,,,,transit
,Kepler-11 b,0.01353,0.1762,10.30375,0.091,—,88.5,—,R,2011,"Feb 2, 2011",,,,
,Kepler-11 c,0.0425,0.28175,13.02502,0.106,—,89.0,—,R,2011,"Feb 2, 2011",,,,
,Kepler-11 d,0.01919,0.3068,22.68719,0.159,—,89.3,—,R,2011,"Feb 2, 2011",,,,
,Kepler-11 e,0.02643,0.4043,31.9959,0.194,—,88.8,—,R,2011,"Feb 2, 2011",,,,
,Kepler-11 f,0.007237,0.2335,46.68876,0.25,—,89.4,—,R,2011,"Oct 3, 2012",,,,
,Kepler-11 g,0.95,0.3274,118.37774,0.462,—,89.8,—,R,2011,"Jul 23, 2012",,,,
