OTHERNAME,RSTAR,MASS,STAR,COMP,star,R,A,texture,,,,,,,day,PER,I
,rsun,mearth,,,,rjupiter,au,,,,,,,,,yrs,deg
GSC 00465-01282,0.902,1040.935213,CoRoT-2,b,0,1.466,0.0280884,textures/earth.jpg,-,-,-,-,-,-,,0.004772158,88.08
2MASS J18390782+0421281,1.61,980.5595912,CoRoT-23,b,0,1.05,0.0483417,textures/earth.jpg,-,-,-,-,-,-,,0.00994217,85.7
2MASS 19281326+0007185,1.56,6945.850261,CoRoT-3,b,0,1.01,0.0573788,textures/earth.jpg,-,-,-,-,-,-,,0.011654732,85.9
GSC 04800-02187,1.17,228.0076756,CoRoT-4,b,0,1.19,0.0903166,textures/earth.jpg,-,-,-,-,-,-,,0.025194378,90
USNO-B1.0 0908-00103649,1.186,147.001942,CoRoT-5,b,0,1.388,0.0496334,textures/earth.jpg,-,-,-,-,-,-,,0.011055393,85.83
2MASS J18441740+0639474,1.025,938.7158562,CoRoT-6,b,0,1.166,0.0854177,textures/earth.jpg,-,-,-,-,-,-,,0.024330685,89.07
2MASS 06434947-0103468,0.87,5.021470679,CoRoT-7,b,0,0.1498,0.0171897,textures/earth.jpg,-,-,-,-,-,-,,0.002337038,80.1
2MASS  J19262124+0125352,0.77,68.67317776,CoRoT-8,b,0,0.57,0.0633825,textures/earth.jpg,-,-,-,-,-,-,,0.017008686,88.4
2MASS J18430881+0612150,0.94,268.098652,CoRoT-9,b,0,1.05,0.406991,textures/earth.jpg,-,-,-,-,-,-,,0.26085102,89.99
,29.1175,1922.590275,epsilon CrB,b,0,,1.23696,textures/earth.jpg,-,-,-,-,-,-,,1.144172281,
,0.74,335.1312604,epsilon Eri,b,0,,3.37558,textures/earth.jpg,-,-,-,-,-,-,,6.844773157,
,3.51559,437.5349508,epsilon Ret,b,0,,1.19471,textures/earth.jpg,-,-,-,-,-,-,,1.172098955,
,12.752,2439.760534,epsilon Tau,b,0,,1.93647,textures/earth.jpg,-,-,-,-,-,-,,1.628782275,
alpha PsA,1.842,,Fomalhaut,b,0,1.2,113.443,textures/earth.jpg,-,-,-,-,-,-,,872.0186244,
,5.01,482.2167882,gamma Cep,b,0,,1.9793,textures/earth.jpg,-,-,-,-,-,-,,2.479379443,
41 Leo A,27.4346,3296.457457,gamma Leo A,b,0,,1.29554,textures/earth.jpg,-,-,-,-,-,-,,1.173194119,
NLTT 44431,0.211,6.467790514,GJ 1214,b,0,0.2389,0.0143253,textures/earth.jpg,-,-,-,-,-,-,,0.004327005,90
2MASS J04091567-5322254,,3368.856081,GJ 163,b,0,,0.0606753,textures/earth.jpg,-,-,-,-,-,-,,0.023630895,
2MASS J04091567-5322254,,2161.152958,GJ 163,c,0,,0.125354,textures/earth.jpg,-,-,-,-,-,-,,0.070174202,
2MASS J04091567-5322254,,9343.808376,GJ 163,d,0,,1.03037,textures/earth.jpg,-,-,-,-,-,-,,1.653563475,
,,8.262246666,GJ 176,b,0,,0.0656822,textures/earth.jpg,-,-,-,-,-,-,,0.024047605,
,,261.9581173,GJ 179,b,0,,2.41241,textures/earth.jpg,-,-,-,-,-,-,,6.264336393,
LHS 2037,,373.4504093,GJ 317,b,0,,0.953818,textures/earth.jpg,-,-,-,-,-,-,,1.897097383,
2MASS J08550761+0132472,,730.9782063,GJ 328,b,0,,4.43476,textures/earth.jpg,-,-,-,-,-,-,,11.22542798,
2MASS J07590587+1523294,0.503,13.98002176,GJ 3470,b,0,0.374365,0.0356123,textures/earth.jpg,-,-,-,-,-,-,,0.009136787,90
2MASS J10583513-3108382,0.43,7.051746756,GJ 3634,b,0,,0.0286881,textures/earth.jpg,-,-,-,-,-,-,,0.00724344,
2MASS J11352695-3232232,,5.783817385,GJ 433,b,0,,0.0580371,textures/earth.jpg,-,-,-,-,-,-,,0.020180855,
