Sys,Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me),Info_sys,Info_p
b,b,0,,3.082,textures/exo-class1.jpg,-,-,-,-,-,-,,5.290410959,,Radial Velocity,1128.545,,
c,c,0,,0.2103,textures/exo-class2.jpg,-,-,-,-,-,-,,0.095542466,,Radial Velocity,17.1666,,
d,d,0,,3.93,textures/exo-class2.jpg,-,-,-,-,-,-,,7.757808219,,Radial Velocity,534.072,,
HD 11506,HD 11506,1,1.26275,169,textures/g.png,01.52.50.53,-19.30.25.1,7.54,G,G0V,2,-,-,-,-,,1,1
b,b,0,,2.43,textures/exo-class2.jpg,-,-,-,-,-,-,,3.48,,Radial Velocity,1093.576,,
c,c,0,,0.639,textures/exo-class3.jpg,-,-,-,-,-,-,,0.467,,Radial Velocity,260.678,,
HD 41248,HD 41248,1,,171,textures/g.png,06.00.33.0,-56.09.43,8.82,G,G2V,2,-,-,-,-,,0,0
b,b,0,,0.137,textures/exo-class2.jpg,-,-,-,-,-,-,,0.050293151,,Radial Velocity,12.30273,,
c,c,0,,0.172,textures/exo-class2.jpg,-,-,-,-,-,-,,0.070268493,,Radial Velocity,8.61509,,
HD 9446,HD 9446,1,0.919448,171,textures/g.png,01.33.20.18,+29.15.54.5,8.35,G,G5V,2,-,-,-,-,,1,1
b,b,0,,0.189,textures/exo-class3.jpg,-,-,-,-,-,-,,0.082334247,,Radial Velocity,222.0803958,,
c,c,0,,0.654,textures/exo-class3.jpg,-,-,-,-,-,-,,0.528493151,,Radial Velocity,576.9897017,,
HD 159868,HD 159868,1,1.84825,172,textures/g.png,17.38.59.53,-43.08.43.8,7.27,G,G5V,2,-,-,-,-,,1,1
b,b,0,,2.25,textures/exo-class2.jpg,-,-,-,-,-,-,,3.228493151,,Radial Velocity,699.2092578,,
c,c,0,,1,textures/exo-class2.jpg,-,-,-,-,-,-,,0.965205479,,Radial Velocity,232.0061263,,
HIP 14810,HIP 14810,1,1.31998,174,textures/g.png,03.11.14.23,+21.05.50.5,8.51,G,G5V,3,-,-,-,-,,1,1
b,b,0,,0.0692,textures/exo-class4.jpg,-,-,-,-,-,-,,0.018284534,,Radial Velocity,1231.351857,,
c,c,0,,0.545,textures/exo-class2.jpg,-,-,-,-,-,-,,0.404739726,,Radial Velocity,405.2733866,,
d,d,0,,1.89,textures/exo-class2.jpg,-,-,-,-,-,-,,2.608219178,,Radial Velocity,184.5243246,,
HD 125612,HD 125612,1,1.0426,177,textures/g.png,14.20.53.51,-17.28.53.5,8.33,G,G3V,3,-,-,-,-,,1,1
b,b,0,,1.37,textures/exo-class2.jpg,-,-,-,-,-,-,,1.53260274,,Radial Velocity,975.0772547,,
c,c,0,,0.05,textures/venuslike.jpg,-,-,-,-,-,-,,0.01138274,,Radial Velocity,18.45456183,,
d,d,0,,4.2,textures/exo-class1.jpg,-,-,-,-,-,-,,8.24109589,,Radial Velocity,2288.88,,
HD 207832,HD 207832,1,0.901,177,textures/g.png,21.52.36.0,-26.01.36,8.79,G,G5V,2,-,-,-,-,,0,0
b,b,0,,0.57,textures/exo-class2.jpg,-,-,-,-,-,-,,0.443753425,,Radial Velocity,179.3045046,,
c,c,0,,2.112,textures/exo-class2.jpg,-,-,-,-,-,-,,3.16630137,,Radial Velocity,232.0995644,,
HD 183263,HD 183263,1,1.11717,180,textures/g.png,19.28.24.57,+08.21.30.0,7.86,G,G2IV,2,-,-,-,-,,1,1
b,b,0,,1.52,textures/exo-class2.jpg,-,-,-,-,-,-,,1.737616438,,Radial Velocity,1136.019587,,
c,c,0,,4.25,textures/exo-class1.jpg,-,-,-,-,-,-,,8.082191781,,Radial Velocity,1104.876737,,
HD 177830,HD 177830,1,3.99397,193,textures/k.png,19.05.20.77,+25.55.14.4,7.18,K,K0IV,2,-,-,-,-,,1,1
b,b,0,,1.2218,textures/exo-class2.jpg,-,-,-,-,-,-,,1.113972603,,Radial Velocity,419.4130476,,
c,c,0,,0.5137,textures/exo-class3.jpg,-,-,-,-,-,-,,0.303835616,,Radial Velocity,47.685,,
HD 109271,HD 109271,1,,202,textures/g.png,12.33.36.0,-11.37.19,8.05,G,G5,2,-,-,-,-,,1,1
b,b,0,,0.079,textures/exo-class2.jpg,-,-,-,-,-,-,,0.02151863,,Radial Velocity,17.1666,,
c,c,0,,0.196,textures/exo-class2.jpg,-,-,-,-,-,-,,0.084739726,,Radial Velocity,24.1604,,
HD 108874,HD 108874,1,1.12115,204,textures/g.png,12.30.26.88,+22.52.47.4,8.74,G,G5V,2,-,-,-,-,,1,1
b,b,0,,1.053,textures/exo-class2.jpg,-,-,-,-,-,-,,1.080767123,,Radial Velocity,410.0469921,,
c,c,0,,2.77,textures/exo-class1.jpg,-,-,-,-,-,-,,4.602739726,,Radial Velocity,326.8330687,,
HD 74156,HD 74156,1,1.345,210,textures/g.png,08.42.25.12,+04.34.41.2,7.61,G,G0IV,2,-,-,-,-,,1,1
b,b,0,,0.294,textures/exo-class3.jpg,-,-,-,-,-,-,,0.141506849,,Radial Velocity,563.622335,,
c,c,0,,3.85,textures/exo-class2.jpg,-,-,-,-,-,-,,6.783561644,,Radial Velocity,2620.91918,,
Kepler-37,Kepler-37,1,0.77,215,textures/g.png,18.58.23.1,+44.31.05,9.77,G,G,3,-,-,-,-,,1,1
b,b,0,0.027,0.1003,textures/exo-class2.jpg,-,-,-,-,-,-,,0.036622762,88.63,Transit,,,
c,c,0,0.066,0.1368,textures/exo-class2.jpg,-,-,-,-,-,-,,0.058361332,89.07,Transit,,,
d,d,0,0.178,0.2076,textures/exo-class2.jpg,-,-,-,-,-,-,,0.10901969,89.335,Transit,,,
HD 200964,HD 200964,1,3.80029,223,textures/k.png,21.06.39.84,+03.48.11.2,6.49,K,K0III,2,-,-,-,-,,1,1
b,b,0,,1.601,textures/exo-class2.jpg,-,-,-,-,-,-,,1.681643836,,Radial Velocity,619.3387652,,
c,c,0,,1.95,textures/exo-class2.jpg,-,-,-,-,-,-,,2.260273973,,Radial Velocity,300.5661614,,
HD 163607,HD 163607,1,1.69594,225,textures/g.png,17.53.40,+56.23.31,8.15,G,G5IV,2,-,-,-,-,,0,0
b,b,0,,0.36,textures/exo-class2.jpg,-,-,-,-,-,-,,0.206273973,,Radial Velocity,244.3555264,,
c,c,0,,2.42,textures/exo-class2.jpg,-,-,-,-,-,-,,3.6,,Radial Velocity,728.5628,,
24 Sextantis,24 Sextantis,1,3.92062,253,textures/g.png,10.23.28.37,-00.54.08.1,6.44,G,G5III,2,-,-,-,-,,1,1
b,b,0,,1.333,textures/exo-class2.jpg,-,-,-,-,-,-,,1.240547945,,Radial Velocity,583.3968846,,
c,c,0,,2.08,textures/exo-class2.jpg,-,-,-,-,-,-,,2.419178082,,Radial Velocity,482.1786502,,
HAT-P-17,HAT-P-17,1,0.837,295,textures/k.png,21.38.08.73,+30.29.19.4,10.54,K,K0V,2,-,-,-,-,,1,0
b,b,0,1.01,0.0882,textures/exo-class3.jpg,-,-,-,-,-,-,,0.028324721,89.2,Transit + Radial Velocity,169.7586,,
c,c,0,,5.6,textures/exo-class1.jpg,-,-,-,-,-,-,,15.29863014,,Radial Velocity,445.06,,
HD 73526,HD 73526,1,1.45542,328,textures/g.png,08.37.16.48,-41.19.08.8,9,G,G6V,2,-,-,-,-,,1,1
b,b,0,,0.66,textures/exo-class2.jpg,-,-,-,-,-,-,,0.515890411,,Radial Velocity,907.5571156,,
c,c,0,,1.05,textures/exo-class2.jpg,-,-,-,-,-,-,,1.035068493,,Radial Velocity,769.4022346,,
HD 47536,HD 47536,1,21.3,402,textures/k.png,06.37.47.62,-32.20.23.0,5.26,K,K1III,2,-,-,-,-,,1,1
b,b,0,,1.61,textures/exo-class3.jpg,-,-,-,-,-,-,,1.178082192,,Radial Velocity,1589.534157,,
c,c,0,,,textures/exo-class3.jpg,-,-,-,-,-,-,,6.849315068,,Radial Velocity,2225.34782,,
Kepler-68,Kepler-68,1,1.243,440,textures/g.png,04.25.29.0,+49.02.25.0,,,,3,-,-,-,-,,1,1
b,b,0,0.206,0.0617,textures/exo-class2.jpg,-,-,-,-,-,-,,0.014791132,87.6,Transit + Radial Velocity,8.321392337,,
c,c,0,0.085,0.09059,textures/exo-class2.jpg,-,-,-,-,-,-,,0.026315301,86.93,Transit,4.81237913,,
d,d,0,,1.4,textures/exo-class2.jpg,-,-,-,-,-,-,,1.589041096,,Radial Velocity,268.6862949,,
COROT-7,COROT-7,1,0.87,489,textures/k.png,06.43.49.47,-01.03.46.9,11.73,K,K0V,2,-,-,-,-,,1,1
b,b,0,0.15,0.0172,textures/asteroid.jpg,-,-,-,-,-,-,,0.002338589,80.1,Transit + Radial Velocity,7.3117,,
c,c,0,,0.046,textures/asteroid.jpg,-,-,-,-,-,-,,0.010131507,,Radial Velocity,8.39256,,
Kepler-10,Kepler-10,1,1.056,564,textures/g.png,19.02.33.06,+50.14.28.7,10.96,G,G5V,2,-,-,-,-,,1,1
b,b,0,0.126,0.01684,textures/exo-class5.jpg,-,-,-,-,-,-,,0.002294507,84.4,Transit,,,
c,c,0,0.199,0.2407,textures/exo-class3.jpg,-,-,-,-,-,-,,0.124095479,89.65,Transit,,,
HAT-P-13,HAT-P-13,1,1.56,698,textures/g.png,08.39.31.81,+47.21.07.3,10.62,G,G4,2,-,-,-,-,,1,1
b,b,0,1.271,0.0427,textures/exo-class4.jpg,-,-,-,-,-,-,,0.007989753,83.4,Transit + Radial Velocity,272.3942613,,
c,c,0,,1.188,textures/browndwarf.jpg,-,-,-,-,-,-,,1.173972603,,Radial Velocity,4535.115918,,
HD 102272,HD 102272,1,12.7057,796,textures/k.png,11.46.23.54,+14.07.26.3,8.71,K,K2III,2,-,-,-,-,,1,1
b,b,0,,0.614,textures/exo-class4.jpg,-,-,-,-,-,-,,0.349534247,,Radial Velocity,1875.61,,
c,c,0,,1.57,textures/exo-class3.jpg,-,-,-,-,-,-,,1.424657534,,Radial Velocity,826.54,,
Kepler-20,Kepler-20,1,0.944,950,textures/g.png,19.10.47.524,+42.20.19.30,12.51,G,G8,5,-,-,-,-,,1,1
b,b,0,0.17,0.04537,textures/exo-class2.jpg,-,-,-,-,-,-,,0.010126361,86.5,Transit,,,
c,c,0,0.274,0.093,textures/exo-class2.jpg,-,-,-,-,-,-,,0.029737238,88.39,Transit,,,
d,d,0,0.245,0.3453,textures/exo-class2.jpg,-,-,-,-,-,-,,0.212635178,89.57,Transit,,,
e,e,0,0.077,0.063351,textures/exo-class2.jpg,-,-,-,-,-,-,,0.0167082,87.5,Transit,,,
f,f,0,0.092,0.137859,textures/exo-class2.jpg,-,-,-,-,-,-,,0.053635781,88.68,Transit,,,
PSR B1257+12,PSR B1257+12,1,0.00002,980,textures/sol.png,13.00.03.58,+12.40.56.5,24.31,,pulsar,3,-,-,-,-,,1,1
b,b,0,,0.19,textures/asteroid.jpg,-,-,-,-,-,-,,0.069210959,50,Pulsar Timing,0.022253,,
c,c,0,,0.36,textures/asteroid.jpg,-,-,-,-,-,-,,0.182306575,53,Pulsar Timing,4.300217661,,
d,d,0,,0.46,textures/asteroid.jpg,-,-,-,-,-,-,,0.269072329,47,Pulsar Timing,3.900213674,,
Kepler-62,Kepler-62,1,0.64,1200,textures/k.png,18.52.51.0,+45.20.60,13.75,K,K2V,5,-,-,-,-,,1,1
b,b,0,0.117,0.0553,textures/exo-class2.jpg,-,-,-,-,-,-,,0.015657348,89.2,Transit,,,
c,c,0,0.048,0.0929,textures/exo-class2.jpg,-,-,-,-,-,-,,0.034086849,89.7,Transit,,,
d,d,0,0.174,0.12,textures/exo-class2.jpg,-,-,-,-,-,-,,0.049764548,89.7,Transit,,,
e,e,0,0.144,0.427,textures/exo-class2.jpg,-,-,-,-,-,-,,0.335307945,89.98,Transit,,,
f,f,0,0.126,0.718,textures/exo-class2.jpg,-,-,-,-,-,-,,0.73230411,89.9,Transit,,,
Kepler-32,Kepler-32,1,0.53,1301,textures/m.png,19.51.22.0,+46.34.27,16,M,M1V,5,-,-,-,-,,0,1
b,b,0,0.196,0.05,textures/exo-class2.jpg,-,-,-,-,-,-,,0.016167781,,Transit,,,
c,c,0,0.178,0.09,textures/exo-class2.jpg,-,-,-,-,-,-,,0.02397863,,Transit,,,
d,d,0,0.241,0.128,textures/exo-class2.jpg,-,-,-,-,-,-,,0.062411507,,Transit,,,
e,e,0,0.134,0.0323,textures/exo-class2.jpg,-,-,-,-,-,-,,0.007934247,,Transit,,,
f,f,0,0.072,0.013,textures/exo-class2.jpg,-,-,-,-,-,-,,0.002035507,,Transit,,,
NN Serpentis,NN Serpentis,1,0.154,1593,textures/m.png,15.52.56.13,+12.54.44.7,16.67,M,WD+M,2,-,-,-,-,circumbinary,1,1
c,c,0,,5.38,textures/exo-class1.jpg,-,-,-,-,-,-,,15.50684932,,Eclipse Timing Variations,2196.689,,
d,d,0,,3.39,textures/exo-class2.jpg,-,-,-,-,-,-,,7.753424658,,Eclipse Timing Variations,724.812,,
Kepler-11,Kepler-11,1,1.065,1999,textures/g.png,19.48.27.62,41.54.32.9,13.69,G,G4V,6,-,-,-,-,,1,1
b,b,0,0.161,0.091,textures/asteroid.jpg,-,-,-,-,-,-,,0.028229863,89.64,transit,,,
c,c,0,0.256,0.106,textures/venuslike.jpg,-,-,-,-,-,-,,0.035682466,89.59,transit,,,
d,d,0,0.278,0.155,textures/asteroid.jpg,-,-,-,-,-,-,,0.062149315,89.67,transit,,,
e,e,0,0.374,0.195,textures/venuslike.jpg,-,-,-,-,-,-,,0.087670137,88.89,transit,,,
f,f,0,0.222,0.25,textures/asteroid.jpg,-,-,-,-,-,-,,0.127914521,89.47,transit,,,
g,g,0,0.297,0.466,textures/exo-class2.jpg,-,-,-,-,-,-,,0.324330685,89.87,transit,,,
Kepler-9,Kepler-9,1,1.1,2754,textures/g.png,19.02.17.76,+38.24.03.2,13.91,G,G2V,3,-,-,-,-,,1,1
b,b,0,0.842,0.14,textures/exo-class3.jpg,-,-,-,-,-,-,,0.052712329,88.55,Transit,,,
c,c,0,0.823,0.225,textures/exo-class3.jpg,-,-,-,-,-,-,,0.10660274,88.12,Transit,,,
d,d,0,0.146,0.0273,textures/venuslike.jpg,-,-,-,-,-,-,,0.004363975,,Transit,,,
Kepler-70,Kepler-70,1,0.203,3849,textures/b.png,19.45.25,+41.05.34,14.87,B,sdB,2,-,-,-,-,,1,1
b,b,0,0.068,0.006,textures/exo-class2.jpg,-,-,-,-,-,-,,0.2401,,Radial Velocity,4.4506,,
c,c,0,0.078,0.0076,textures/exo-class2.jpg,-,-,-,-,-,-,,0.34289,,Radial Velocity,0.66759,,
OGLE-2006-BLG-109L,OGLE-2006-BLG-109L,1,,4850,textures/m.png,17.52.35.22,-30.05.15.7,19.87,M,M1V,2,-,-,-,-,,1,1
b,b,0,,2.30586,textures/exo-class1.jpg,-,-,-,-,-,-,,5,,Microlensing,231.1133,,
c,c,0,,4.8168,textures/exo-class1.jpg,-,-,-,-,-,-,,13.97260274,59,Microlensing,86.1509,,
Kepler-47,Kepler-47,1,0.964,4900,textures/sol.png,19.41.11.5,+46.55.13.69,15.178,,,2,-,-,-,-,circumbinary,0,0
b,b,0,0.27,0.2962,textures/exo-class2.jpg,-,-,-,-,-,-,,0.13570411,89.7,Transit,,,
c,c,0,0.411,0.991,textures/exo-class2.jpg,-,-,-,-,-,-,,0.830512329,89.825,Transit,,,
