Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me)
Gliese 163,1,,49,textures/sol.png,04.09.16,-53.22.25,11.8,M,M3.5V,3,-,-,-,-,
b,0,,0.061,textures/earth.jpg,-,-,-,-,-,-,,0.023646575,,Radial Velocity,3368.856081
c,0,,0.13,textures/earth.jpg,-,-,-,-,-,-,,0.070136986,,Radial Velocity,2161.152958
d,0,,1,textures/earth.jpg,-,-,-,-,-,-,,1.652054795,,Radial Velocity,9343.808376
Mu Arae,1,1.25035,51,textures/sol.png,17.44.08.70,-51.50.02.6,5.15,G,G3IV-V,4,-,-,-,-,
b,0,,1.5273,textures/earth.jpg,-,-,-,-,-,-,,1.761160133,,,554.7552516
c,0,,5.34057,textures/earth.jpg,-,-,-,-,-,-,,11.51509878,,,600.3778262
d,0,,0.0927843,textures/earth.jpg,-,-,-,-,-,-,,0.026389612,,,10.99241848
e,0,,0.93961,textures/earth.jpg,-,-,-,-,-,-,,0.850257694,,,172.676757
HD 113538,1,,52,textures/sol.png,13.04.57.48,-52.26.34.5,9.1,K,K9V,2,-,-,-,-,
b,0,,0.71,textures/earth.jpg,-,-,-,-,-,-,,0.721369863,,Radial Velocity,
c,0,,2.43,textures/earth.jpg,-,-,-,-,-,-,,4.539726027,,Radial Velocity,
Gliese 777 A,1,1.07528,52,textures/sol.png,20.03.37.41,+29.53.48.5,5.71,G,G6IV,2,-,-,-,-,2
b,0,,3.97285,textures/earth.jpg,-,-,-,-,-,-,,7.98110653,,,487.8866365
c,0,,0.129216,textures/earth.jpg,-,-,-,-,-,-,,0.046848439,,,18.74285328
Gliese 676 A,1,,53,textures/sol.png,17.30.11.2042,-51.38.13.116,9.59,M,M0V,4,-,-,-,-,2
b,0,,1.8,textures/earth.jpg,-,-,-,-,-,-,,2.877534247,,Radial Velocity,1556.351124
c,0,,,,,,,,,,,,,,
d,0,,0.0413,textures/earth.jpg,-,-,-,-,-,-,,0.009863014,,Radial Velocity,
e,0,,0.187,textures/earth.jpg,-,-,-,-,-,-,,0.09690411,,Radial Velocity,
HD 128311,1,0.58322,54,textures/sol.png,14.36.00.56,+09.44.47.5,7.51,K,K0V,2,-,-,-,-,
b,0,,1.086,textures/earth.jpg,-,-,-,-,-,-,,1.244383562,,Radial Velocity,463.1223662
c,0,,1.745,textures/earth.jpg,-,-,-,-,-,-,,2.530958904,,Radial Velocity,1032.420906
14 Herculis,1,0.912364,57,textures/sol.png,16.10.24.31,+43.49.03.5,6.67,K,K0V,2,-,-,-,-,
b,0,,2.77,textures/earth.jpg,-,-,-,-,-,-,,4.858630137,,Radial Velocity,1657.369134
c,0,,,,,,,,,,,,,,
83 Leonis,1,0.630794,59,textures/sol.png,11.26.46.28,+03.00.22.8,7.57,K,K2V,2,-,-,-,-,
b,0,,,,,,,,,,,,,,33.74544998
c,0,,,,,,,,,,,,,,
HD 217107,1,1.5,65,textures/sol.png,22.58.15.54,-02.23.43.4,6.18,G,G8IV,2,-,-,-,-,
b,0,,0.0748,textures/earth.jpg,-,-,-,-,-,-,,0.019525523,,Radial Velocity,445.2992106
c,0,,5.32,textures/earth.jpg,-,-,-,-,-,-,,11.69863014,,Radial Velocity,831.2366345
HD 215152,1,,70,textures/sol.png,22.43.21,-06.24.03,8.13,G,G8IV,2,-,-,-,-,
b,0,,0.0652,textures/earth.jpg,-,-,-,-,-,-,,0.019952055,,Radial Velocity,
c,0,,0.0852,textures/earth.jpg,-,-,-,-,-,-,,0.029769863,,Radial Velocity,
HD 1461,1,1.12553,76,textures/sol.png,00.18.41.62,-08.03.09.5,6.47,G,G0V,2,-,-,-,-,
b,0,,0.063438,textures/earth.jpg,-,-,-,-,-,-,,0.015815616,,Radial Velocity,7.628997067
c,0,,0.1117,textures/earth.jpg,-,-,-,-,-,-,,0.037,,Radial Velocity,
HD 134060,1,,79,textures/sol.png,15.10.44.97,-61.25.20.3,6.29,G,G3IV,2,-,-,-,-,
b,0,,0.0444,textures/earth.jpg,-,-,-,-,-,-,,0.008958904,,Radial Velocity,
c,0,,2.2263,textures/earth.jpg,-,-,-,-,-,-,,3.180547945,,Radial Velocity,
HD 60532,1,2.35065,83,textures/sol.png,07.34.03.18,-22.17.45.8,4.46,F,F6IV-V,2,-,-,-,-,
b,0,,0.77,textures/earth.jpg,-,-,-,-,-,-,,0.552958904,20,Radial Velocity,328.8766295
