# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
47 Uma d,1.64,521.356,"[0.48, 0.29]",,,14002,"[5095.0, 5095.0]",11.6,"[2.9, 2.9]",0.16,"[0.16, 0.16]",,,0.830351,110,"[160.0, 160.0]",1736,"[5051.0, 5051.0]",,,,,,,,,,,,,,,detected by radial velocity,,47 Uma,59:29.0,+40:25:46,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892
51 Peg b,0.468,148.7772,[0.007],,[],4.23077,[5e-05],0.052,[],0,[],79,"[30.0, 30.0]",0.003537,0,[],,[],,[],,[],,,,,2497,[0.022],,,,,detected by radial velocity,,51 Peg,57:27.0,+20:46:07,5.49,,,,,14.7,0.2,1.11,1.266,G2 IV,4,5793
55 Cnc b,0.8,254.32,[0.012],,[],14.651,[0.0001],0.1134,[0.0006],0.0159,[0.008],,[],0.009303,164,,2453035,[2.2],,[],,[],,,,,,,,,,,detected by radial velocity,,55 Cnc,52:37.0,+28:20:02,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc c,0.169,53.7251,[0.008],,,44.3446,[0.007],0.2403,[0.0017],0.053,,,,0.019473,57.4,[11.0],2449989.339,[3.3],,,,,,,,,,,,,,,detected by radial velocity,,55 Cnc,52:37.0,+28:20:02,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc d,3.835,1219.1465,[0.08],,,5218,[230.0],5.76,[0.06],0.025,[0.03],53,[6.8],0.466775,181.3,[32.0],2452500.6,[230.0],,,,,,,,,,,,,,,detected by radial velocity,,55 Cnc,52:37.0,+28:20:02,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc e,0.0263,8.36077,[0.0012],0.194,[0.009],0.736546,[3e-06],0.0156,[0.00011],0.06,"[inf, nan]",81,[1.7],0.001264,170,"[130.0, 130.0]",2449999.836,[0.0001],,[],2455568.011,[0.008],,,,,,,,,,,detected by transit,,55 Cnc,52:37.0,+28:20:02,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc f,0.144,45.7776,[0.04],,,260.7,[1.1],0.781,[0.006],0.0002,,,,0.06329,205,[60.0],2450080.911,[1.1],,,,,,,,,,,,,,,detected by radial velocity,,55 Cnc,52:37.0,+28:20:02,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
6 Lyn b,2.4,762.96,,,,899,[19.0],2.2,,0.134,[0.052],2,"[1.0, 1.0]",0.038664,27,[27.0],3309,[60.0],,,,,,,,,,,,,,,detected by radial velocity,,6 Lyn,30:47.0,+58:09:46,5.86,4.8,4.27,3.03,3.7,56.9,-0.13,1.7,5.2,K0IV,,4978
61 Vir b,0.016,5.0864,[0.0016],,,4.215,[0.0006],0.050201,[5e-06],0.12,[0.11],,,0.005892,105,[54.0],2453369.166,,,,,,,,,,,,,,,,detected by radial velocity,,61 Vir,18:24.0,-18:18:40,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531
61 Vir c,0.0573,18.21567,[0.0035],,,38.021,[0.034],0.2175,[0.0001],0.14,[0.06],,,0.025528,341,[38.0],2453369.166,,,,,,,,,,,,,,,,detected by radial velocity,,61 Vir,18:24.0,-18:18:40,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531
61 Vir d,0.072,22.8888,[0.008],,,123.01,[0.55],0.476,[0.001],0.35,[0.09],,,0.055869,314,[20.0],2453369.166,,,,,,,,,,,,,,,,detected by radial velocity,,61 Vir,18:24.0,-18:18:40,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531
7 CMa b,2.6,826.54,[0.6],,,763,[17.0],1.9,[0.1],0.14,[0.06],,,0.096203,44.9,[4.0],2455520,[89.0],,,,,,,,,,,,,,,detected by radial velocity,,7 CMa,36:41.0,-19:15:21,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792
70 Vir b,6.6,2098.14,,,,116.67,[0.01],0.48,,0.43,,,,0.021818,2.1,[2.0],2448990.403,[0.5],,,,,,,,,,,,,,,detected by radial velocity,,70 Vir,28:26.0,+13:47:12,5,,,,,22,-0.11,0.92,1.968,G4 V,7.09,5432
75 Cet b,3,953.7,[],,[],691.9,[3.6],2.1,[],,,,[],,,,2452213,[54.0],,[],,[],,,,,,,,,,,detected by radial velocity,,75 Cet,32:09.0,-01:02:06,5.36,,,,,81.5,0,2.49,10.5,G3III,,4846
81 Cet b,5.3,1684.87,,,,952.7,[8.8],2.5,,0.206,[0.029],,,0.02572,175,[6.9],2486,[26.0],,,,,,,,,,,,,,,detected by radial velocity,,81 Cet,37:42.0,-03:23:46,5.65,,3.94,3.38,3.27,97.2,-0.06,2.4,11,G5III,,
91 Aqr b,3.2,1017.28,[],,[],181.4,[0.1],0.7,[],0.027,[0.026],,[],0.006593,177.3,[0.8],2453472.1,[24.0],,[],,[],,,,,,,,,,,detected by radial velocity,,91 Aqr,15:53.0,-09:05:15,4.21,,,,,45.9,-0.03,1.4,11,K0 III,3.56,4665
AB Pic b,13.5,4291.65,[0.5],,,,,275,,,,,,5.813953,,,,,,,,,,,,,,,,,,,detected by imaging,,AB Pic,19:12.0,-58:03:15,9.16,,,,,47.3,-0.64,,,K2 V,0.03,4875
BD +48 738 b,0.91,289.289,,,,392.6,[5.5],1,,0.2,[0.1],,,,358.9,[31.1],44457.2,[28.5],,,,,,,,,,,,,,,detected by radial velocity,,BD +48 738,42:50.0,+49:35:13,9.14,,,,,,-0.2,0.74,11,K0III,,4414
BD+15 2940 b,1.11,352.869,[],,[],137.48,[0.34],0.539,[],0.26,[0.1],,[],,302,[33.0],2453464,[16.0],,[],,[],,,,,,,,,,,detected by radial velocity,,BD+15 2940,00:23.0,+15:32:49,9.19,,,,,585,0.28,1.1,14.7,K0,7.1,4796
BD+20 274 c,4.2,1335.18,[],,[],578.2,[3.4],1.3,[],,[],,[],,,[],2453920.5,[33.2],,[],,[],,,,,,,,,,,detected by radial velocity,,BD+20 274,43:41.0,+21:00:18,9.36,,,,,,-0.46,0.8,17.3,K5,,4296
BD-061339 b,0.027,8.5833,[0.004],,[],3.8728,[0.0004],0.0428,[0.0007],0,[],,[],,,[],2455220.5,[0.1],,[],,[],,,,,,,,,,,detected by radial velocity,,BD-061339,53:00.0,-05:59:41,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324
BD-061339 c,0.17,54.043,[0.03],,[],125.94,[0.44],0.435,[0.007],0,[],,[],,,[],2455264.2,[17.6],,[],,[],,,,,,,,,,,detected by radial velocity,,BD-061339,53:00.0,-05:59:41,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324
BD-082823 b,0.045,14.3055,[0.007],,,5.6,[0.02],0.056,[0.002],0.15,[0.15],,,0.001327,30,[100.0],2454637.7,[1.6],,,,,,,,,,,,,,,detected by radial velocity,,BD-082823,00:48.0,-09:31:00,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746
BD-082823 c,0.33,104.907,[0.03],,,237.6,[1.5],0.68,[0.02],0.19,[0.09],,,0.016114,-233,[21.0],2454193,[13.0],,,,,,,,,,,,,,,detected by radial velocity,,BD-082823,00:48.0,-09:31:00,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746
BD-10 3166 b,0.48,152.592,[0.03],,,3.487,[0.001],0.046,,0.05,[0.05],,,0.000697,35,[20.0],1586.8,[0.06],,,,,,,,,,,,,,,detected by radial velocity,,BD-10 3166,58:28.0,-10:46:13,10.08,,,,,66,0.5,0.99,1.71,G4 V,4.18,5400
BD-17 63 b,5.1,1621.29,[0.12],,,655.6,[0.6],1.34,[0.02],0.54,[0.005],,,0.038728,112.2,[1.9],54627.1,[1.5],,,,,,,,,,,,,,,detected by radial velocity,,BD-17 63,28:34.0,-16:13:35,9.62,,,,,34.6,-0.03,0.74,0.69,K5V,4.3,4714
BD14 4559 b,1.47,467.313,,,,268.94,[0.99],0.777,,0.29,[0.03],,,0.01554,87.64,[7.87],53293.71,[6.35],,,,,,,,,,,,,,,detected by radial velocity,,BD14 4559,13:36.0,+14:41:22,9.63,,,,,50,0.1,0.86,,K2V,,5008
BD20 2457 b,21.42,6809.418,,,,379.63,[2.01],1.45,,0.15,[0.03],,,0.00725,207.64,[21.99],54677.03,[28.19],,,,,,,,,,,,,,,detected by radial velocity,,BD20 2457,16:45.0,+19:53:29,9.75,,,,,200,-1,2.8,,K2II,,4127
BD20 2457 c,12.47,3964.213,,,,621.99,[10.2],2.01,,0.18,[0.06],,,0.01005,126.02,[16.54],53866.95,[27.99],,,,,,,,,,,,,,,detected by radial velocity,,BD20 2457,16:45.0,+19:53:29,9.75,,,,,200,-1,2.8,,K2II,,4127
CD-35 2722 b,31,9854.9,[8.0],,,,,67,[4.0],,,,,3.14554,,,,,,,,,,,,,,,,,,,detected by imaging,,CD-35 2722,00:00.0,+00:00:00,10.98,,,,,21.3,0.04,0.4,,M1V,0.1,3680
CFBDS 1458 b,6.5,2066.35,[4.5],,,14600,[8800.0],2.6,[0.2],,,,,0.112554,,,,,,,,,,,,,,,,,,,detected by imaging,,CFBDS 1458,58:29.0,+10:13:43,,,19.86,20.18,20.63,23.1,,0.024,,T9.5,3,540
CHXR 73 b,12,3814.8,"[5.0, 8.0]",,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,detected by imaging,,CHXR 73,06:29.0,-77:37:33,,,,11.32,,,,0.35,,M3.25,0.002,
CT Cha b,17,5404.3,[6.0],2.2,"[0.6, 0.6]",,,440,,,,,,2.666667,,,,,,,,,,,,,,,,,,,detected by imaging,,CT Cha,04:09.0,-76:27:19,12.36,,,,,165,,,,K7,0.002,
CoRoT-1 b,1.03,327.437,[0.12],1.49,[0.08],1.5089557,[6.4e-06],0.0254,[0.0004],0,[],85.1,[0.5],5.50E-05,,[],,[],,[],2454159.453,[],,,,,,,,,,,detected by transit,,CoRoT-1,48:19.0,-03:06:08,13.6,,,,,460,0.06,0.95,1.11,G0V,,6298
CoRoT-10 b,2.75,874.225,[0.14],0.97,[0.05],13.2406,[0.0002],0.1055,[0.0021],0.53,[0.04],88.55,[0.2],0.000306,218.9,[6.4],54990.85,[0.08],,[],54273.3436,[0.0012],,,,,,,,,,,detected by transit,,CoRoT-10,24:15.0,+00:44:46,15.22,,,,,345,0.26,0.89,0.79,K1V,3,5075
CoRoT-11 b,2.33,740.707,[0.27],1.43,[0.033],2.994325,[2.1e-05],0.04351,[0.00036],0,[],81.41,[0.17],7.80E-05,,[],,[],,[],54597.679,[0.0003],,,,,,,,,,,detected by transit,,CoRoT-11,42:45.0,+05:56:16,12.94,,,,,560,-0.03,1.27,1.37,F6V,2,6440
CoRoT-12 b,0.917,291.5143,"[0.065, 0.07]",1.44,[0.13],2.828042,[1.3e-05],0.04016,"[0.00092, 0.00092]",0.07,"[0.042, 0.042]",85.48,"[0.77, 0.77]",3.50E-05,105,"[27.0, 27.0]",,[],,[],4398.62707,[0.00036],,,,,,,,,,,detected by transit,,CoRoT-12,43:04.0,-01:17:47,15.52,,,,,1150,0.16,1.078,1.116,G2V,6.3,5675
CoRoT-13 b,1.308,415.8132,[0.066],0.885,[0.014],4.03519,[3e-05],0.051,[0.0031],0,[],88.02,"[0.036, 0.036]",3.90E-05,,[],,[],,[],4790.8091,[0.0006],,,,,,,,,,,detected by transit,,CoRoT-13,50:53.0,-05:05:11,15.04,,,,,1310,0.01,1.09,1.01,G0V,1.64,5945
CoRoT-14 b,7.6,2416.04,[0.6],1.09,[0.07],1.51214,[0.00013],0.027,[0.002],0,[],79.6,[0.8],2.00E-05,,[],2454787.67,[],,[],2454787.669,[0.0053],,,,,,,,,,,detected by transit,,CoRoT-14,53:42.0,-05:32:10,16.03,,,,,1340,0.05,1.13,1.21,F9V,0.6,6035
CoRoT-16 b,0.535,170.0765,[0.085],1.17,"[0.14, 0.14]",5.35227,[0.0002],0.0618,[0.0015],0.33,[0.1],85.01,"[1.2, 1.2]",7.40E-05,168.41,"[21.0, 21.0]",,[],,[],2454923.914,[0.0022],,,,,,,,,,,detected by transit,,CoRoT-16,34:06.0,-06:00:09,15.64,,,,,840,0.19,1.098,1.19,G5V,6.73,5650
CoRoT-17 b,2.43,772.497,[0.16],1.02,[0.07],3.768125,[0.000257],0.0461,[0.0008],0,[],88.34,[1.54],5.00E-05,,[],,[],,[],2454923.309,[0.003613],,,,,,,,,,,detected by transit,,CoRoT-17,34:47.0,-06:36:44,15.46,,,,,920,0,1.04,1.59,G2V,10.7,5740
CoRoT-18 b,3.47,1103.113,[0.38],1.31,[0.18],1.9000693,[2.8e-06],0.0295,[0.0016],0.08,"[inf, nan]",86.5,"[0.9, 0.9]",3.40E-05,,[],,[],,[],2455321.724,[0.00018],,,,,,,,,,,detected by transit,,CoRoT-18,00:00.0,+00:00:00,14.99,,,,,870,-0.1,0.95,1,G9V,,5440
CoRoT-19 b,1.11,352.869,[0.06],1.29,[0.05],3.89713,[2e-05],0.0518,[0.0008],0.047,[0.045],87.61,[0.37],6.50E-05,86,"[60.0, 60.0]",,[],,[],2455257.441,[0.0006],,,,,,,,,,,detected by transit,,CoRoT-19,00:00.0,+00:00:00,14.78,,,,,800,-0.02,1.21,1.65,F9V,5,6090
CoRoT-2 b,3.31,1052.249,[0.16],1.465,[0.029],1.7429964,[1.7e-06],0.0281,[0.0009],0,[],87.84,[0.1],9.40E-05,,[],,[],,[],2454706.404,[0.003],,,,,,,,,,,detected by transit,,CoRoT-2,27:07.0,+01:23:02,12.57,,,,,300,-0.04,0.97,0.902,G7V,,5575
CoRoT-20 b,4.24,1347.896,[0.23],0.84,[0.04],9.24285,[0.0],0.0902,[0.0021],0.562,[0.013],88.21,[0.53],7.30E-05,56.3,[2.4],,[],,[],24455265.79,[0.0014],,,,,,,,,,,detected by transit,,CoRoT-20,00:00.0,+00:00:00,14.66,,,,,1230,0.14,1.14,0.92,G2V,0.1,5880
CoRoT-21 b,2.26,718.454,[0.31],1.3,[0.14],2.72474,[0.00014],0.0417,[0.0011],0,[],86.8,[2.1],,,[],,[],,[],2454399.028,[0.0009],,,,,,,,,,,detected by transit,,CoRoT-21,00:00.0,+00:00:00,16,,,,,,0,1.29,1.945,FIV8,4.1,6200
CoRoT-23 b,2.8,890.12,[0.25],1.08,[0.13],3.6314,[0.0001],0.0477,[0.0038],0.16,[0.017],85.7,"[1.5, 1.5]",8.00E-05,51.8,[9.0],,[],,[],2455308.937,[0.001],,,,,,,,,,,detected by transit,,CoRoT-23,00:00.0,+00:00:00,15.63,,,,,600,0.05,1.14,1.61,G0V,7.2,5900
CoRoT-25 b,0.27,85.833,[0.04],1.08,"[0.3, 0.1]",4.86069,[6e-05],0.0578,"[0.002, 0.0009]",,[],84.5,"[0.8, 0.3]",,,[],,[],,[],2454577.431,[0.0008],,,,,,,,,,,detected by transit,,CoRoT-25,42:31.0,+06:30:50,15,,,,,1000,-0.01,1.09,1.19,G0V,5.2,6040
CoRoT-26b,0.52,165.308,[0.05],1.26,"[0.13, 0.07]",4.20474,[5e-05],0.0526,[0.001],0,[],86.8,"[2.2, 1.0]",,,[],,[],,[],2454574.681,[0.0008],,,,,,,,,,,detected by transit,,CoRoT-26,39:00.0,+06:58:12,15.76,,,,,1670,0.01,1.09,1.79,G8IV,8.6,5590
CoRoT-3 b,21.77,6920.683,[1.0],1.01,[0.07],4.2567994,[5e-06],0.057,[0.003],0,[],85.9,[0.8],8.40E-05,,[],,[],,[],2454283.138,[0.0003],,,,,,,,,,,detected by transit,,CoRoT-3,28:13.0,+00:07:19,13.3,,,,,680,-0.02,1.37,1.56,F3V,2,6740
CoRoT-4 b,0.72,228.888,[0.08],1.19,"[0.05, 0.05]",9.20205,[0.00037],0.09,[0.001],0,"[0.0, 0.0]",90,"[0.085, 0.085]",,,[],,[],,[],2454141.364,[0.00089],,,,,,,,,,,detected by transit,,CoRoT-4,48:47.0,-00:40:22,13.7,,,,,,0.05,1.1,1.15,F8V,1,6190
CoRoT-5 b,0.467,148.4593,"[0.024, 0.067]",1.33,"[0.047, 0.047]",4.0378962,[1.9e-06],0.04947,"[0.00029, 0.00029]",0.09,"[0.04, 0.04]",85.83,"[1.38, 1.38]",0.000124,-128.3,"[48.0, 48.0]",,[],,[],2454400.199,[0.0002],,,,,,,,,,,detected by transit,,CoRoT-5,45:07.0,+00:48:55,14,,,,,400,-0.25,1,1.186,F9V,6.9,6100
CoRoT-6 b,2.96,940.984,[0.34],1.166,[0.035],8.886593,[4e-06],0.0855,[0.0015],0.1,"[inf, nan]",89.07,[0.3],,,[],2454595.614,[0.0002],,[],2454702.256,[0.0003],,,,,,,,,,,detected by transit,,CoRoT-6,44:18.0,+06:39:48,13.9,,,,,,-0.2,1.055,1.025,F9V,,6090
CoRoT-7 b,0.023,7.3117,[0.0025],0.141,[0.008],0.853585,[2.4e-05],0.0172,[0.00029],0,[],80.1,[0.3],0.000115,,[],,[],,[],2454398.077,[0.0015],,,,,,,,,,,detected by transit,,CoRoT-7,43:49.0,-01:03:46,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313
CoRoT-7 c,0.0264,8.39256,[0.0028],,,3.698,[0.003],0.046,,0,,,,0.000307,,,2454445,[0.7],,,,,,,,,,,,,,,detected by radial velocity,,CoRoT-7,43:49.0,-01:03:46,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313
CoRoT-8 b,0.22,69.938,[0.03],0.57,[0.02],6.21229,[3e-05],0.063,[0.001],0,[],88.4,[0.1],0.000166,,[],,[],,[],4238.9743,[0.0004],,,,,,,,,,,detected by transit,,CoRoT-8,26:21.0,+01:25:36,14.8,,,,,380,0.3,0.88,0.77,K1V,3,5080
CoRoT-9 b,0.84,267.036,[0.07],0.94,[0.04],95.273804,[0.0014],0.407,[0.005],0.11,[0.04],89.9,"[nan, inf]",0.000885,37,"[37.0, 37.0]",,[],,[],2454603.345,[0.0001],,,,,,,,,,,detected by transit,,CoRoT-9,43:09.0,+06:12:15,13.7,,,,,460,-0.01,0.99,0.94,G3V,4,5625
DH Tau b,11,3496.9,"[0.003, 0.01]",,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,detected by imaging,,DH Tau,29:42.0,+26:32:58,13.71,,,,,,,0.37,,M0.5V,0.001,
DP Leo b,6.05,1923.295,[0.47],,,10230,[730.0],8.19,[0.39],0.39,[0.13],,,,-78,[20.0],,,,,,,,,,,,,,,,,pulsar,,DP Leo,17:16.0,+17:57:41,17.5,,,,,,,0.69,,AM Her,,
FU Tau b,15,4768.5,,,,,,800,,,,,,5.714286,,,,,,,,,,,,,,,,,,,detected by imaging,,FU Tau,23:35.0,+25:03:03,,,,9.95,,140,,0.05,,M7.25,0.001,2838
Fomalhaut b,2,635.8,"[0.0, 2.0]",,[],320000,[],115,[],0.11,"[0.0, 0.0]",,[],14.92731,,[],,[],,[],,[],,,,,,,,,,,detected by imaging,,Fomalhaut,57:39.0,-29:37:20,1.16,,,,,7.704,,1.92,1.842,A3 V,0.44,8590
GJ 1214 b,0.0197,6.26263,[0.0027],0.254,[0.018],1.58040482,[1.8e-07],0.01411,[0.00032],0.27,"[0.0, 0.27]",88.17,[0.54],0.001077,,[],,[],,[],2455391.654,[2.8e-05],,[],,[],,,,,,,detected by transit,,GJ 1214,15:19.0,+04:57:50,14.71,,,,,13,0.39,0.15,0.216,M,6,3026
GJ 176 b,0.0265,8.42435,,,,8.7836,[0.0054],0.066,,0,[0.0],,,0.007006,,,,,,,,,,,,,2454399.79,[0.33],,,,,detected by radial velocity,,GJ 176,42:56.0,+18:57:29,9.97,,6.462,5.824,5.607,9.42,-0.1,0.49,0.53,M2.5V,,
